rank,product_id,brand,product_name,categories,rating,review_count,attention_count,capacity_price,release_date,product_url,shopping_url,image_url,image_file
37,10272418,KANEBO,ライブリースキン ウェアII,クリーム・ジェルファンデーション,5.5,714,7851,"30ｇ・12,100円",2025/8/22,https://www.cosme.net/products/10272418/,https://www.cosme.com/products/detail.php?product_id=371742,https://cache-cdn.cosme.net/media/product/10272/skuimg_1035773.jpg,outputs/cosme_foundation_ranking_20260616/images/037_10272418.jpg
38,10259630,シュウ ウエムラ,アンリミテッド ケア ツヤ セラム ファンデーション,リキッドファンデーション,5.4,2050,16289,"35mL・7,700円",2024/9/6,https://www.cosme.net/products/10259630/,https://www.cosme.com/products/detail.php?product_id=340532,https://cache-cdn.cosme.net/media/product/10259/skuimg_989150.jpg,outputs/cosme_foundation_ranking_20260616/images/038_10259630.jpg
39,10290695,NARS,ナチュラル ロングウェア ファンデーション,リキッドファンデーション,4.8,195,4250,"30mL・7,480円",2026/3/20,https://www.cosme.net/products/10290695/,https://www.cosme.com/products/detail.php?product_id=400834,https://cache-cdn.cosme.net/media/product/10290/skuimg_1090910.jpg,outputs/cosme_foundation_ranking_20260616/images/039_10290695.jpg
40,10253336,fwee(フィー),フィー クッションガラスナチュラル,リキッドファンデーション / クッションファンデ / その他ファンデーション,5.0,813,6915,"13g・2,860円",2025/6/13,https://www.cosme.net/products/10253336/,https://www.cosme.com/products/detail.php?product_id=331006,https://cache-cdn.cosme.net/media/product/10253/skuimg_968340.jpg,outputs/cosme_foundation_ranking_20260616/images/040_10253336.jpg
41,10192670,メイベリン ニューヨーク,フィットミー リキッド ファンデーション R,リキッドファンデーション,4.8,3250,21371,"30ml・1,991円 / -・1,991円",2020/6/27 (2022/5/23追加発売),https://www.cosme.net/products/10192670/,"javascript:tb_show('','/dialog/shopping-link/index/productId/10192670?KeepThis=true&TB_iframe=true&height=240&width=386')",https://cache-cdn.cosme.net/media/product/10192/skuimg_860159.jpg,outputs/cosme_foundation_ranking_20260616/images/041_10192670.jpg
42,10243532,エレガンス,リファイン ヴェルヴェティ ファンデーション,パウダーファンデーション,5.7,426,5977,"1セット・6,600円 / ケース・1,100円 / レフィル・5,500円",2023/9/17,https://www.cosme.net/products/10243532/,https://www.cosme.com/products/detail.php?product_id=404676,https://cache-cdn.cosme.net/media/product/10243/skuimg-d_98825.jpg,outputs/cosme_foundation_ranking_20260616/images/042_10243532.jpg
43,10268359,vim BEAUTY(ヴィム ビューティー),all day moist liquid foundation,リキッドファンデーション,5.2,159,2763,"30ml・3,190円 / -・3,190円",2024/11/21 (2025/5/22追加発売),https://www.cosme.net/products/10268359/,,https://cache-cdn.cosme.net/media/product/10268/skuimg_1020412.jpg,outputs/cosme_foundation_ranking_20260616/images/043_10268359.jpg
44,10264598,ABOUT TONE,スキンレイヤーフィットファンデーション,リキッドファンデーション,5.3,136,2343,"30ml・3,080円",2025/7/18,https://www.cosme.net/products/10264598/,,https://cache-cdn.cosme.net/media/product/10264/skuimg_1051861.jpg,outputs/cosme_foundation_ranking_20260616/images/044_10264598.jpg
45,10295947,メイクアップフォーエバー,HDスキン バランシング＆パーフェクティング ファンデーション,リキッドファンデーション,5.7,177,455,"30ml・7,040円",2026/5/21 NEW,https://www.cosme.net/products/10295947/,https://www.cosme.com/products/detail.php?product_id=410993,https://cache-cdn.cosme.net/media/product/10295/skuimg_1110284.jpg,outputs/cosme_foundation_ranking_20260616/images/045_10295947.jpg
46,10251182,オバジ,オバジC デイセラムBB,日焼け止め・UVケア(顔用) / 化粧下地 / BBクリーム,5.0,579,8358,"30g・3,300円",2024/2/10,https://www.cosme.net/products/10251182/,"javascript:tb_show('','/dialog/shopping-link/index/productId/10251182?KeepThis=true&TB_iframe=true&height=240&width=386')",https://cache-cdn.cosme.net/media/product/10251/skuimg_958223.jpg,outputs/cosme_foundation_ranking_20260616/images/046_10251182.jpg
47,10219664,クレ・ド・ポー ボーテ,タンクッションエクラ ナチュレル,リキッドファンデーション / クッションファンデ / その他ファンデーション,5.6,1570,16235,"14g(レフィル)・8,030円 / パフ・880円 / -・3,300円 / ケース・3,520円",2022/3/21 (2024/1/21追加発売),https://www.cosme.net/products/10219664/,"javascript:tb_show('','/dialog/shopping-link/index/productId/10219664?KeepThis=true&TB_iframe=true&height=240&width=386')",https://cache-cdn.cosme.net/media/product/10219/skuimg-d_53014.jpg,outputs/cosme_foundation_ranking_20260616/images/047_10219664.jpg
48,10291818,ケイト,ジュレリープリキッドファンデーション,リキッドファンデーション,5.6,248,1420,"25ｍｌ・2,090円 / 25ｍｌ・2,310円 (編集部調べ)",2026/4/25,https://www.cosme.net/products/10291818/,https://www.cosme.com/products/detail.php?product_id=403718,https://cache-cdn.cosme.net/media/product/10291/skuimg_1093390.jpg,outputs/cosme_foundation_ranking_20260616/images/048_10291818.jpg
49,10204017,クレ・ド・ポー ボーテ,タンフリュイドエクラ ナチュレル,リキッドファンデーション,5.7,1044,8470,"35ml・14,850円",2021/3/21,https://www.cosme.net/products/10204017/,https://www.cosme.com/products/detail.php?product_id=222211,https://cache-cdn.cosme.net/media/product/10204/skuimg-d_25205.jpg,outputs/cosme_foundation_ranking_20260616/images/049_10204017.jpg
50,10288278,ファシオ,BB ティント クッション 耐久カバー,化粧下地 / クッションファンデ,5.5,164,1112,"12g・2,530円",2026/3/1,https://www.cosme.net/products/10288278/,https://www.cosme.com/products/detail.php?product_id=398378,https://cache-cdn.cosme.net/media/product/10288/skuimg_1086348.jpg,outputs/cosme_foundation_ranking_20260616/images/050_10288278.jpg
